Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,43.2,0.9985,0.0873,0.0018
Gaussian,42.97,0.9986,0.0872,0.0018
Gaussian,42.71,0.9982,0.0933,0.0018
Gaussian,42.78,0.998,0.0948,0.0018
Gaussian,42.82,0.9987,0.0893,0.0019
Gaussian,42.95,0.9986,0.0831,0.0018
Gaussian,42.4,0.9984,0.0954,0.0018
Gaussian,43.11,0.9989,0.0827,0.0018
Gaussian,43.18,0.9986,0.0902,0.0018
Gaussian,42.95,0.9983,0.089,0.0018
Gaussian,43.05,0.9983,0.0873,0.0018
Gaussian,43.09,0.9989,0.0826,0.0018
Gaussian,43.31,0.9987,0.0886,0.0018
Gaussian,43.13,0.9982,0.0872,0.0018
Gaussian,43.22,0.9988,0.087,0.0018
Gaussian,42.98,0.9983,0.0861,0.0018
Gaussian,42.9,0.9987,0.0838,0.0018
Gaussian,42.94,0.9984,0.09,0.0018
Gaussian,43.01,0.9985,0.0902,0.0018
Gaussian,42.59,0.9979,0.0946,0.0018
Gaussian,42.75,0.9987,0.0897,0.0018
Gaussian,43.21,0.9984,0.0851,0.0018
Gaussian,43.05,0.9988,0.0844,0.0018
Gaussian,43.32,0.9988,0.0853,0.0018
Gaussian,43.19,0.9988,0.0864,0.0018
Gaussian,43.15,0.9988,0.0873,0.0018
Gaussian,43.04,0.9983,0.0887,0.0018
Gaussian,42.94,0.9983,0.0907,0.0018
Gaussian,43.22,0.9988,0.0862,0.0019
Gaussian,43.16,0.9989,0.0817,0.0018
Gaussian,42.94,0.9988,0.0834,0.0018
Gaussian,42.69,0.9982,0.0952,0.0018
Gaussian,42.96,0.9986,0.0828,0.0018
Gaussian,43.16,0.9976,0.0895,0.0018
Gaussian,43.07,0.9989,0.0832,0.0018
Gaussian,42.88,0.9988,0.0879,0.0021
Gaussian,43.12,0.9987,0.0883,0.0018
Gaussian,43.19,0.9988,0.086,0.0018
Gaussian,43.15,0.9979,0.0888,0.0018
Gaussian,43.28,0.9988,0.0878,0.0018
Gaussian,43.07,0.998,0.087,0.0018
Gaussian,42.73,0.9982,0.0955,0.0018
Gaussian,42.81,0.9984,0.0895,0.0019
Gaussian,43.05,0.9989,0.0824,0.0018
Gaussian,43.08,0.999,0.0818,0.0018
Gaussian,43.3,0.9987,0.0891,0.0018
Gaussian,43.41,0.9988,0.0867,0.0018
Gaussian,43.26,0.9989,0.0859,0.0018
Gaussian,43.42,0.9987,0.0882,0.0018
Gaussian,43.07,0.9984,0.0877,0.0018
Gaussian,42.98,0.9983,0.0907,0.0018
Gaussian,43.32,0.9988,0.0878,0.0018
Gaussian,43.19,0.9988,0.0839,0.0019
Gaussian,43.01,0.9984,0.0904,0.0018
Gaussian,43.2,0.9987,0.0868,0.0018
Gaussian,43.24,0.9986,0.0874,0.0018
Gaussian,42.87,0.9984,0.0882,0.0018
Gaussian,43.0,0.9983,0.0893,0.0018
Gaussian,43.22,0.9985,0.0863,0.0018
Gaussian,42.9,0.9985,0.0855,0.0018
Gaussian,42.91,0.9988,0.085,0.0018
Gaussian,42.82,0.9982,0.0906,0.0018
Gaussian,43.14,0.998,0.0877,0.0018
Gaussian,42.96,0.9984,0.0889,0.0018
Gaussian,43.02,0.9987,0.0863,0.0018
Gaussian,43.08,0.9989,0.0847,0.0018
Gaussian,42.94,0.9983,0.0876,0.0018
Gaussian,43.23,0.9988,0.0871,0.0019
Gaussian,43.07,0.9988,0.084,0.0018
Gaussian,43.19,0.9984,0.0867,0.0018
Gaussian,43.1,0.9984,0.0875,0.0018
Gaussian,43.49,0.9987,0.0886,0.0018
Gaussian,43.34,0.9986,0.0876,0.0018
Gaussian,43.5,0.9988,0.0857,0.0018
Gaussian,43.0,0.9978,0.0889,0.0018
Gaussian,43.61,0.9988,0.088,0.0018
Gaussian,42.84,0.9986,0.0869,0.0018
Gaussian,42.84,0.9982,0.0907,0.0018
Gaussian,43.08,0.9985,0.0852,0.0018
Gaussian,43.62,0.9988,0.0881,0.0018
Gaussian,42.88,0.9987,0.0856,0.0018
Gaussian,43.09,0.9987,0.0843,0.0018
Gaussian,43.02,0.9986,0.0855,0.002
Gaussian,43.31,0.9987,0.0866,0.0018
Gaussian,43.19,0.9989,0.0843,0.0018
Gaussian,42.94,0.9983,0.0884,0.0018
Gaussian,43.28,0.9984,0.0867,0.0018
Gaussian,43.19,0.9988,0.0864,0.0018
Gaussian,43.29,0.9987,0.0846,0.0018
Gaussian,43.0,0.9985,0.0854,0.0018
Gaussian,43.15,0.9988,0.0826,0.002
Gaussian,43.22,0.9987,0.0865,0.0018
Gaussian,43.12,0.9981,0.0865,0.0021
Gaussian,42.98,0.9984,0.0901,0.0018
Gaussian,43.07,0.9988,0.0836,0.0018
Gaussian,43.03,0.998,0.0873,0.0018
Gaussian,43.27,0.9989,0.0843,0.0018
Gaussian,43.1,0.9983,0.0883,0.0018
Gaussian,42.69,0.9984,0.0898,0.0018
Gaussian,42.96,0.9983,0.0891,0.0018
Gaussian,43.31,0.9988,0.0873,0.0019
Gaussian,43.25,0.9989,0.0861,0.0018
Gaussian,42.81,0.9982,0.0906,0.0019
Gaussian,43.07,0.9988,0.084,0.0018
Gaussian,43.37,0.9988,0.0873,0.0018
Gaussian,43.27,0.9982,0.0869,0.0018
Gaussian,43.44,0.9987,0.0869,0.0018
Gaussian,42.69,0.998,0.0935,0.0018
Gaussian,43.28,0.9987,0.085,0.0018
Gaussian,43.1,0.9988,0.084,0.0018
Gaussian,42.76,0.9984,0.0902,0.0018
Gaussian,43.1,0.9975,0.0907,0.0018
Gaussian,43.21,0.9989,0.0844,0.0018
Gaussian,43.01,0.9987,0.0884,0.0018
Gaussian,43.09,0.9987,0.0847,0.0018
Gaussian,42.88,0.9986,0.0848,0.0018
Gaussian,43.33,0.9987,0.0877,0.0018
Gaussian,43.39,0.9983,0.0878,0.0018
Gaussian,43.21,0.9989,0.0825,0.0018
Gaussian,43.41,0.9987,0.0872,0.002
Gaussian,43.36,0.9986,0.0878,0.0018
Gaussian,43.3,0.9987,0.0864,0.0018
Gaussian,42.9,0.9986,0.0848,0.0018
Gaussian,43.26,0.9989,0.084,0.0018
Gaussian,43.32,0.9987,0.0868,0.0018
Gaussian,42.97,0.9985,0.0909,0.0018
Gaussian,43.16,0.9976,0.0897,0.0018
Gaussian,43.12,0.9987,0.0848,0.0018
Gaussian,43.63,0.9988,0.088,0.0018
Gaussian,43.0,0.9988,0.084,0.0018
Gaussian,43.26,0.9989,0.0843,0.0018
Gaussian,42.33,0.997,0.1054,0.0018
Gaussian,43.24,0.9984,0.09,0.0018
Gaussian,42.53,0.9972,0.0935,0.0018
Gaussian,42.05,0.9962,0.1033,0.0018
Gaussian,43.26,0.9985,0.0906,0.0018
Gaussian,42.55,0.9972,0.0928,0.0018
Gaussian,42.62,0.997,0.0931,0.0018
Gaussian,41.89,0.9964,0.1105,0.0018
Gaussian,42.34,0.9971,0.1039,0.002
Gaussian,42.34,0.9968,0.0962,0.0018
Gaussian,42.43,0.9969,0.0947,0.0018
Gaussian,42.75,0.998,0.0935,0.0018
Gaussian,42.41,0.9981,0.0897,0.0019
Gaussian,43.22,0.9983,0.0897,0.0018
Gaussian,43.19,0.9983,0.0909,0.0018
Gaussian,42.84,0.9974,0.0897,0.0018
Gaussian,42.88,0.9987,0.0915,0.0018
Gaussian,42.31,0.997,0.105,0.0018
Gaussian,42.66,0.9972,0.0939,0.0018
Gaussian,43.22,0.9983,0.0918,0.0019
Gaussian,42.55,0.9972,0.0926,0.0019
Gaussian,42.57,0.9972,0.0924,0.0018
Gaussian,42.75,0.9974,0.0909,0.0018
Gaussian,42.83,0.9973,0.0908,0.0018
Gaussian,43.24,0.9983,0.0896,0.0018
Gaussian,42.36,0.997,0.0985,0.0018
Gaussian,42.14,0.9963,0.1024,0.0018
Gaussian,42.86,0.9987,0.0924,0.0018
Gaussian,42.45,0.998,0.1046,0.0019
Gaussian,42.04,0.9962,0.1032,0.0018
Gaussian,43.19,0.9983,0.092,0.0018
Gaussian,42.72,0.997,0.0972,0.0018
Gaussian,42.72,0.997,0.0926,0.0019
Gaussian,42.36,0.9971,0.0951,0.0018
Gaussian,42.86,0.9986,0.0929,0.0018
Gaussian,42.79,0.9972,0.0919,0.0018
Gaussian,42.72,0.9979,0.0949,0.0018
Gaussian,42.4,0.9969,0.0989,0.0019
Gaussian,42.33,0.997,0.0956,0.0018
Gaussian,43.68,0.9987,0.0885,0.0018
Gaussian,43.27,0.9985,0.0904,0.0018
Gaussian,42.34,0.9968,0.0981,0.0019
Gaussian,42.33,0.997,0.1035,0.0018
Gaussian,42.72,0.9972,0.0918,0.0018
Gaussian,42.05,0.9962,0.1046,0.0018
Gaussian,43.65,0.9987,0.0891,0.0018
Gaussian,42.35,0.9971,0.1035,0.0018
Gaussian,42.52,0.9971,0.0958,0.0018
Gaussian,42.69,0.9971,0.097,0.0018
Gaussian,42.71,0.9974,0.0904,0.0018
Gaussian,42.67,0.9971,0.0969,0.0018
Gaussian,42.17,0.997,0.0971,0.0018
Gaussian,42.41,0.9973,0.1012,0.0018
Gaussian,42.67,0.9971,0.0967,0.002
Gaussian,42.12,0.9967,0.1016,0.0018
Gaussian,42.64,0.997,0.093,0.0018
Gaussian,42.24,0.9967,0.1014,0.0018
Gaussian,42.13,0.997,0.0987,0.0018
Gaussian,43.31,0.9985,0.0892,0.0019
Gaussian,42.44,0.998,0.091,0.0019
Gaussian,42.28,0.9966,0.0963,0.0018
Gaussian,42.11,0.9963,0.1034,0.0018
Gaussian,42.09,0.9966,0.1051,0.0018
Gaussian,42.79,0.9971,0.0939,0.0018
Gaussian,42.66,0.9972,0.0958,0.0018
Gaussian,42.8,0.9974,0.0903,0.0018
Gaussian,43.23,0.9984,0.0913,0.0018
Gaussian,42.76,0.997,0.0926,0.0018
Gaussian,42.6,0.9972,0.0952,0.0018
Gaussian,42.62,0.9972,0.095,0.0018
Gaussian,42.56,0.9976,0.0963,0.0018
Gaussian,42.54,0.9972,0.0917,0.0018
Gaussian,42.13,0.997,0.0987,0.0018
Gaussian,43.63,0.9988,0.0883,0.0018
Gaussian,42.78,0.9972,0.0939,0.0018
Gaussian,42.37,0.9971,0.1037,0.0018
Gaussian,42.42,0.9972,0.1034,0.0018
Gaussian,43.19,0.9982,0.0944,0.0018
Gaussian,42.44,0.9971,0.1001,0.0018
Gaussian,42.76,0.9974,0.0908,0.0018
Gaussian,41.83,0.9961,0.1136,0.0018
Gaussian,42.38,0.997,0.0972,0.0018
Gaussian,42.4,0.998,0.1017,0.0018
Gaussian,42.14,0.9963,0.1024,0.0018
Gaussian,42.23,0.9968,0.0999,0.0018
Gaussian,41.85,0.9962,0.1122,0.0018
Gaussian,42.82,0.9971,0.0932,0.0018
Gaussian,42.43,0.998,0.1009,0.0018
Gaussian,42.36,0.9971,0.1029,0.0018
Gaussian,42.45,0.998,0.0907,0.0018
Gaussian,42.39,0.998,0.0902,0.0018
Gaussian,42.08,0.9967,0.1035,0.0018
Gaussian,42.73,0.9971,0.0952,0.0018
Gaussian,42.17,0.997,0.0975,0.0019
Gaussian,42.86,0.9987,0.0929,0.0018
Gaussian,43.65,0.9988,0.0887,0.0018
Gaussian,42.62,0.9971,0.097,0.0019
Gaussian,42.38,0.997,0.0948,0.0018
Gaussian,42.32,0.9967,0.0955,0.0021
Gaussian,42.86,0.9974,0.09,0.0018
Gaussian,42.79,0.9973,0.091,0.0018
Gaussian,43.14,0.9982,0.0944,0.0018
Gaussian,42.61,0.9972,0.0952,0.0018
Gaussian,42.82,0.9974,0.0904,0.0018
Gaussian,42.28,0.9966,0.0967,0.0018
Gaussian,42.4,0.9971,0.1019,0.0018
Gaussian,42.37,0.997,0.099,0.0018
Gaussian,42.64,0.9972,0.0937,0.0018
Gaussian,42.73,0.997,0.0971,0.0018
Gaussian,42.76,0.9972,0.0926,0.0018
Gaussian,43.15,0.9983,0.0926,0.0018
Gaussian,42.46,0.9971,0.0933,0.0019
Gaussian,42.29,0.9969,0.1044,0.0018
Gaussian,42.32,0.997,0.0982,0.0018
Gaussian,42.38,0.997,0.0984,0.0018
Gaussian,43.25,0.9983,0.0895,0.0018
Gaussian,42.68,0.9972,0.0942,0.0018
Gaussian,42.81,0.997,0.0941,0.0018
Gaussian,42.33,0.9968,0.0985,0.0018
Gaussian,42.31,0.9974,0.1015,0.0019
Gaussian,42.06,0.9966,0.1037,0.0018
Gaussian,42.45,0.998,0.1027,0.0018
Gaussian,42.17,0.997,0.098,0.002
Gaussian,43.1,0.9982,0.0954,0.0018
Gaussian,42.38,0.9969,0.0984,0.0018
Gaussian,42.28,0.997,0.1059,0.0018
Gaussian,42.35,0.997,0.1049,0.0019
Gaussian,42.4,0.9969,0.0954,0.0018
Gaussian,43.15,0.9983,0.0909,0.0018
Gaussian,42.15,0.9969,0.0989,0.0018
Gaussian,42.14,0.9968,0.1011,0.0018
Gaussian,42.76,0.9971,0.0947,0.0018
Gaussian,42.79,0.9969,0.0931,0.0018
Gaussian,42.76,0.9971,0.0951,0.0018
Gaussian,42.66,0.9978,0.0965,0.0018
Gaussian,42.31,0.9967,0.0958,0.0018
Gaussian,43.31,0.9985,0.0883,0.0018
Gaussian,42.56,0.9972,0.0924,0.0018
