Input File,Processed From,Processed To,Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c02.avi,Gaussian,40.71,0.9965,0.1057,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g09_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g09_c02.avi,Gaussian,40.87,0.9966,0.0992,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g24_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g24_c01.avi,Gaussian,40.71,0.9969,0.0979,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g17_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g17_c02.avi,Gaussian,41.43,0.9967,0.0993,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c07.avi,Gaussian,41.05,0.9968,0.0986,0.0072
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g19_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g19_c04.avi,Gaussian,40.95,0.9983,0.0978,0.0071
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g15_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g15_c03.avi,Gaussian,41.17,0.9981,0.0978,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g25_c01.avi,Gaussian,41.12,0.9977,0.1004,0.0072
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g16_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g16_c04.avi,Gaussian,40.73,0.9965,0.1057,0.0074
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c02.avi,Gaussian,40.91,0.9969,0.101,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g11_c01.avi,Gaussian,41.51,0.9985,0.0987,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g02_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g02_c04.avi,Gaussian,41.57,0.9984,0.0986,0.0077
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g21_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g21_c02.avi,Gaussian,41.22,0.9981,0.0937,0.0073
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g13_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g13_c02.avi,Gaussian,41.43,0.9984,0.0968,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g06_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g06_c01.avi,Gaussian,41.08,0.9983,0.0988,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g18_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g18_c04.avi,Gaussian,40.94,0.9968,0.1007,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Gaussian/TableTennisShot/v_TableTennisShot_g05_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Gaussian/TableTennisShot/denoised_v_TableTennisShot_g05_c04.avi,Gaussian,41.06,0.9968,0.0986,0.0076
