Input File,Processed From,Processed To,Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g24_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g24_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g24_c02.avi,Speckle,27.84,0.6194,0.5514,0.0086
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g15_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g15_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g15_c05.avi,Speckle,28.96,0.6871,0.5037,0.0085
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g16_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g16_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g16_c05.avi,Speckle,26.97,0.5755,0.6454,0.0093
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g10_c03.avi,Speckle,27.04,0.7087,0.5601,0.0083
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g08_c04.avi,Speckle,30.58,0.7546,0.4522,0.0079
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g10_c04.avi,Speckle,26.74,0.7049,0.571,0.0085
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g19_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g19_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g19_c02.avi,Speckle,28.77,0.6545,0.5128,0.0082
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g12_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g12_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g12_c03.avi,Speckle,27.96,0.6653,0.5511,0.0089
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g02_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g02_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g02_c01.avi,Speckle,27.21,0.6309,0.5545,0.0089
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g17_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g17_c07.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g17_c07.avi,Speckle,29.62,0.8237,0.4699,0.0082
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g03_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g03_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g03_c01.avi,Speckle,28.82,0.7704,0.4745,0.0085
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g25_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g25_c01.avi,Speckle,28.49,0.6789,0.5721,0.0097
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g03_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g03_c04.avi,Speckle,26.8,0.5771,0.5839,0.0088
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g04_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g04_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g04_c04.avi,Speckle,28.46,0.6194,0.5373,0.0087
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g10_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g10_c06.avi,Speckle,29.17,0.789,0.5007,0.0081
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g01_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g01_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g01_c05.avi,Speckle,26.5,0.6476,0.573,0.009
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g11_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g11_c02.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g11_c02.avi,Speckle,29.34,0.7978,0.4659,0.0077
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g01_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g01_c04.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g01_c04.avi,Speckle,28.25,0.721,0.5287,0.0083
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g11_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g11_c01.avi,Speckle,29.55,0.8717,0.4341,0.0076
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g17_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g17_c06.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g17_c06.avi,Speckle,28.04,0.7583,0.5199,0.0084
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c01.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g08_c01.avi,Speckle,31.34,0.8144,0.442,0.0078
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g09_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g09_c05.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g09_c05.avi,Speckle,27.17,0.6516,0.5809,0.0085
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g18_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g18_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g18_c03.avi,Speckle,30.72,0.8108,0.491,0.0075
/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/noisy_select/Speckle/Surfing/v_Surfing_g08_c03.avi,/home/ad/ru501950/workspace/CAP5415/UCF101/denoised/UCF-101-Speckle/Surfing/denoised_v_Surfing_g08_c03.avi,Speckle,30.77,0.7548,0.4582,0.0079
