Noise Type,Video Category,Video Name,Average PSNR,Average SSIM,Average VIF,Average Processing Time (ms),Frames Per Second (FPS)
SaltPepper,Hammering,v_Hammering_g19_c04.avi,29.19407345497786,0.5760083356519379,0.6293159796950523,207.9846698246645,4.808046674031414
SaltPepper,Fencing,v_Fencing_g03_c04.avi,28.72959488868767,0.7932147683049385,0.6198938812347169,207.87887877606332,4.810493523381209
SaltPepper,PizzaTossing,v_PizzaTossing_g18_c01.avi,29.01185533285057,0.633938262225988,0.6492036244383564,209.846885116012,4.765379288080253
SaltPepper,SkateBoarding,v_SkateBoarding_g08_c05.avi,28.199819062335237,0.7659014240571667,0.6286143235586308,207.70289500554404,4.814569387553832
SaltPepper,ThrowDiscus,v_ThrowDiscus_g08_c03.avi,28.315080499995084,0.48664941581489696,0.5969994218453117,208.69230602098548,4.791743495802106
SaltPepper,ApplyEyeMakeup,v_ApplyEyeMakeup_g04_c02.avi,28.453567017335565,0.6492713286032487,0.5511056013179548,210.98143223560217,4.739753585914157
SaltPepper,Mixing,v_Mixing_g02_c05.avi,28.881191982305136,0.7083750384000762,0.6023330809296789,208.23150550996934,4.802347260329075
SaltPepper,PlayingViolin,v_PlayingViolin_g13_c03.avi,28.19110794601437,0.5955857730885638,0.6178482095169466,208.67193576901457,4.792211258858168
SaltPepper,LongJump,v_LongJump_g25_c03.avi,30.564048089359723,0.8032212363954709,0.6406968242704532,208.06049088300284,4.806294533652345
SaltPepper,CliffDiving,v_CliffDiving_g03_c01.avi,30.180949264035387,0.8143875566247014,0.7145649713018666,207.67569023629895,4.815200078844921
SaltPepper,VolleyballSpiking,v_VolleyballSpiking_g07_c05.avi,29.401310634028345,0.7599700046627471,0.5212483579336211,208.21745173875675,4.802671397855092
SaltPepper,TrampolineJumping,v_TrampolineJumping_g14_c02.avi,29.278394937326368,0.7324277498475955,0.6988832016178614,207.73178000637537,4.813899924071847
SaltPepper,SoccerJuggling,v_SoccerJuggling_g23_c02.avi,31.4352806856402,0.7812880574950043,0.5737673689921697,208.65418712298074,4.792618896310958
SaltPepper,Surfing,v_Surfing_g20_c06.avi,29.99404821313199,0.8488461361781492,0.6194605182957005,208.17144957288352,4.803732702307418
